name,email,password,role,rollNumber,department,subject,section,phone,dateOfBirth,address
Peggy Hampe,phampe0@wufoo.com,wE3)!\0.Ez,teacher,1,MPC,English,C,627-366-1550,1/19/1983,1258 5th Way
Gabey Badby,gbadby1@123-reg.co.uk,"bC0,C_T8N",teacher,2,BiPC,Mathematics,A,350-941-3054,7/13/1968,3 Hayes Plaza
Pansie Zarfati,pzarfati2@cocolog-nifty.com,rD6{1G}K/t=K,teacher,3,BiPC,Biology,A,274-487-2653,3/27/1971,4968 Alpine Circle
Felita Ritelli,fritelli3@cbc.ca,kA9?45$KH'HTF=,teacher,4,BiPC,Chemistry,C,712-129-8103,09-02-1970,1 Canary Crossing
Cinderella Trigg,ctrigg4@oakley.com,uJ7~?HXlLP,teacher,5,BiPC,Chemistry,C,561-908-8694,02-09-2004,1 Tennyson Center
Shay Shafe,sshafe5@comsenz.com,nO5=d<Haz,teacher,6,MPC,English,A,227-252-8703,07-04-1962,7695 Larry Road
Esmaria Ambrozewicz,eambrozewicz6@sciencedirect.com,"pF4,c2(Pof",teacher,7,MPC,Biology,A,461-499-2961,02-02-2000,513 Havey Park
Charisse McKimmie,cmckimmie7@xrea.com,lA1?Q!v1m9(W3f,teacher,8,BiPC,Chemistry,A,318-394-1722,7/18/1967,36646 Vera Junction
Tremain Taaffe,ttaaffe8@noaa.gov,dV7@P}!~tl.v,teacher,9,MPC,Chemistry,B,442-630-6165,9/21/1980,1 Fieldstone Place
Juana Grima,jgrima9@istockphoto.com,"kH7=PF6)!2h""4F.",teacher,10,BiPC,Physics,B,502-493-4498,08-01-1981,328 Northfield Circle
Rycca Mendes,rmendesa@boston.com,bK4!EML>4h8Rw=*,teacher,11,MPC,Mathematics,C,882-226-1989,12/28/1988,936 Meadow Ridge Street
Catlee Bremond,cbremondb@parallels.com,vR8'?G)*_(Vk,teacher,12,BiPC,Chemistry,A,527-965-6771,09-12-1981,3 Harper Circle
Hailee Preble,hpreblec@foxnews.com,rG9.D.y},teacher,13,MPC,English,A,731-865-7964,02-11-1992,674 Schlimgen Terrace
Missy Baggelley,mbaggelleyd@dyndns.org,"sQ0_ID2""xH/Vg",teacher,14,MPC,Physics,A,497-807-6746,11/27/1989,67962 Mallard Center
Sib Meineck,smeinecke@livejournal.com,vG5_zd}!>,teacher,15,BiPC,Physics,C,240-187-6604,5/26/1966,2303 Hanover Alley
Christabella Livesey,cliveseyf@deliciousdays.com,dG5~gD`VwXY,teacher,16,MPC,Physics,B,959-830-9742,08-01-1973,07417 Leroy Point
Elisa Broxis,ebroxisg@hhs.gov,"jF1*zw6Ku)""",teacher,17,MPC,Chemistry,C,660-809-4316,5/23/1957,7 Bayside Parkway
Blane Alday,baldayh@answers.com,lF7@cPsKUn~uwzs,teacher,18,BiPC,Chemistry,A,754-243-3082,9/21/1982,52 Merchant Trail
Elton Wickman,ewickmani@hibu.com,"lZ3<Tch""",teacher,19,MPC,Chemistry,C,852-977-0570,07-12-1970,50924 Saint Paul Parkway
Quent Windows,qwindowsj@pcworld.com,zV1}`ryuBq!J50,teacher,20,BiPC,Biology,C,290-525-2184,2/27/1971,635 Rusk Parkway
