name,email,password,role,rollNumber,class,department,section,phone,dateOfBirth,address
Tabitha Andryushin,tandryushin0@mediafire.com,"lC3,vwdad2",student,1,12,MPC,B,782-197-5451,3/20/2006,0 Melby Lane
Sansone Aslam,saslam1@e-recht24.de,cE7!U8WD(c,student,2,12,MPC,A,652-132-6358,12/23/2006,171 Mifflin Junction
Vassily Dooler,vdooler2@admin.ch,sK8_F/}2AsE2A(_h,student,3,12,MPC,A,832-123-7798,2/27/2005,338 Kinsman Terrace
Borg Sculley,bsculley3@mozilla.org,"oK4""B1=Gy8YwX&&L",student,4,11,MPC,C,946-840-3465,3/24/2005,352 Old Shore Lane
Cecily Van de Vlies,cvan4@cpanel.net,dK5=R`kx,student,5,12,MPC,C,679-689-4437,7/14/2006,2 Melvin Court
Eleanora Densell,edensell5@vk.com,qQ2'KW*fMl,student,6,11,BiPC,A,963-880-9205,8/22/2007,65472 Coleman Point
Lulita Dring,ldring6@meetup.com,lD9*u6cI_s7(k,student,7,12,MPC,C,711-192-5703,06-03-2005,5 Miller Hill
Nikola Bollin,nbollin7@springer.com,dQ8!f%S+8*EO+A7n,student,8,11,MPC,B,365-648-2266,7/14/2005,0033 Morningstar Pass
Chelsae Spillard,cspillard8@usa.gov,sN9(<hE&/XP>SZ+,student,9,11,BiPC,B,720-782-7634,12/14/2005,0624 Old Gate Junction
Tiff Denney,tdenney9@webs.com,dV5_g>/ga$a?jss3,student,10,11,MPC,B,841-538-8612,01-07-2009,8754 Kenwood Crossing
Xylina Alvares,xalvaresa@unc.edu,"vV0{zr{0""6'$f",student,11,12,BiPC,B,777-882-7518,4/24/2007,0 Mandrake Lane
Aurelie Palmar,apalmarb@hugedomains.com,"kI9}/,Uf39HOe",student,12,12,BiPC,B,971-253-9925,02-05-2010,1 Continental Trail
Cobb Lowis,clowisc@tiny.cc,oZ9\Lu1I6?J_,student,13,12,MPC,C,775-955-3486,3/31/2005,37 Crownhardt Parkway
Jere Craigg,jcraiggd@pen.io,fZ7_ws1R6Acw2,student,14,12,BiPC,B,882-984-7479,10-01-2010,29 Loeprich Drive
Beatrix Burk,bburke@webmd.com,qV4'Sj0veW.\2,student,15,12,BiPC,A,624-881-1530,08-05-2006,973 Meadow Vale Trail
Karna Grimditch,kgrimditchf@eepurl.com,jF0?&?O?fe#Q~u,student,16,11,BiPC,B,461-386-2237,11-06-2009,94 Arizona Junction
Kristen Lewsy,klewsyg@chronoengine.com,hO6+1.N{,student,17,12,BiPC,A,455-364-3893,06-11-2005,52379 Knutson Pass
Tiff Stockford,tstockfordh@scientificamerican.com,"cZ4@Fj""W6""1aOoMu",student,18,11,BiPC,C,255-680-1134,3/31/2006,2257 Mcbride Avenue
Anselma Creamer,acreameri@dailymotion.com,eG9<Pr1u0{D32W93,student,19,12,MPC,B,356-696-9238,8/24/2010,2242 Novick Plaza
Debra Deary,ddearyj@dion.ne.jp,mH6=kYN7Kw),student,20,11,BiPC,A,575-576-7242,6/25/2007,8740 Shelley Road
Brandea Daynter,bdaynterk@slashdot.org,sM9*)do!IXu,student,21,11,MPC,B,250-562-5907,12/27/2008,4980 Eastlawn Lane
Edgard Banbrigge,ebanbriggel@w3.org,oA4_Pkkc,student,22,11,BiPC,C,280-718-9658,05-03-2008,975 Reindahl Pass
Wilma Jenteau,wjenteaum@bandcamp.com,wB1/Qe$c*&EQ'@,student,23,11,BiPC,A,682-625-5268,8/31/2008,53 Mifflin Street
Godfrey Sandes,gsandesn@newyorker.com,"dM8,j\xD",student,24,12,MPC,B,204-442-0819,02-10-2007,63299 East Parkway
Mord Cookes,mcookeso@sfgate.com,oC0.1@j?b,student,25,11,BiPC,B,720-683-9297,3/20/2005,42 Crest Line Road
Giselbert Whitehead,gwhiteheadp@google.co.uk,uB6\0c%kbAi9BE,student,26,12,MPC,C,320-764-8971,7/29/2005,72709 Hayes Park
Hertha Critzen,hcritzenq@dyndns.org,yE7'jCTuR/,student,27,12,MPC,C,256-403-4512,5/23/2008,85 Gina Lane
Lotte Flowitt,lflowittr@fotki.com,hD1(\ZB'm,student,28,12,BiPC,A,319-909-7036,02-05-2009,916 Rusk Plaza
Wilburt Wollard,wwollards@ftc.gov,kE8'sso_}?tp!,student,29,12,BiPC,A,591-645-8721,03-07-2005,5 Scofield Court
Padgett Blakeden,pblakedent@discovery.com,uH4'fI>+,student,30,11,MPC,B,142-234-9280,8/16/2010,80045 Bonner Way
Florian Giddons,fgiddonsu@dot.gov,eO5~%KNAA3/IOU~1,student,31,11,MPC,B,550-256-6474,9/16/2005,7449 Dixon Circle
Lek Jouhan,ljouhanv@abc.net.au,jY3(NEWt'%H+rh>,student,32,11,BiPC,A,531-751-4735,10-10-2005,4 Scofield Way
Ferd McPheat,fmcpheatw@archive.org,tU6}gdOq.&Uzp,student,33,12,MPC,C,652-589-8375,12-07-2005,59 Almo Center
Katha Boutton,kbouttonx@51.la,kZ9}6kA?_,student,34,11,BiPC,A,843-273-8857,9/25/2005,821 Shasta Parkway
Thacher Gerbl,tgerbly@guardian.co.uk,uR1@%)R5cv,student,35,11,MPC,A,411-903-3951,6/22/2010,0274 Hudson Crossing
Karrie Huc,khucz@state.tx.us,fO1<ej%1N&>w=VQ,student,36,11,MPC,C,925-513-2769,10-04-2008,70 Moose Hill
Lazaro Cholmondeley,lcholmondeley10@odnoklassniki.ru,"iR5{QTe7{##,*Pq6",student,37,11,BiPC,A,996-278-6853,6/29/2006,23465 Ramsey Alley
